doc_id,row_index,category,matched_keyword,match_position,snippet,snippet_id,statement_class,statement_category,confidence
api_19,9,CCUS,CCUS,5668,"...==
===================
API GHG Emission One-Pagers

Task Description: Develop a one-pager that qualifies and, if possible, quantifies past industry efforts that achieved
greenhouse gas emission reductions and projects future emission reductions for key industry operations/sources.

Topics - Lead
1.	CCUS – Marcus K
2.	Methane – Matt T
3.	Flaring – Matt T
4.	Refining Efficiency – Ron C and Andrew B
5.	Fuels – Patrick K
6.	LNG Exports – Dustin M and Jeff S
7.	Nat Gas in Power Generation – Dustin M and Jeff S

Outline

Topic: e.g., Methane

Brief Description of Topic/Industry Source: 2-3 sentences

AP...",10,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_20,11,CCUS,CCUS,2181,"...=======================================================
Issue Paper

API is conducting an overview of our current policies and industry initiatives on climate change, and the tangible benefits
these measures will have on reducing greenhouse gas emissions. This review includes the following items: • CCUS - API supports policy reforms to infrastructure permitting and development for CCUS as well as research,
development and deployment funding to support technology breakthrough. API also supports federal tax provisions
incentivizing CCUS investment and deployment.
• Methane – API supports cost-effect...",11,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_20,11,CCUS,CCUS,2265,"...ng an overview of our current policies and industry initiatives on climate change, and the tangible benefits
these measures will have on reducing greenhouse gas emissions. This review includes the following items: • CCUS - API supports policy reforms to infrastructure permitting and development for CCUS as well as research,
development and deployment funding to support technology breakthrough. API also supports federal tax provisions
incentivizing CCUS investment and deployment.
• Methane – API supports cost-effective policies and direct regulation that achieve methane emission reductions
from new...",12,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_20,11,CCUS,CCUS,2417,"...ouse gas emissions. This review includes the following items: • CCUS - API supports policy reforms to infrastructure permitting and development for CCUS as well as research,
development and deployment funding to support technology breakthrough. API also supports federal tax provisions
incentivizing CCUS investment and deployment.
• Methane – API supports cost-effective policies and direct regulation that achieve methane emission reductions
from new and existing sources across the supply chain. Additionally, the oil and natural gas industry remains committed
to the development and deployment of new...",13,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_20,11,CCUS,CCUS,3958,"...======================
API GHG Emission One-Pagers

Task Description: Develop a one-pager that qualifies and, if possible, quantifies past industry efforts that achieved
greenhouse gas emission reductions and projects future emission reductions for key industry operations/sources.

Topics - Lead
1. CCUS – Marcus K
2. Methane – Matt T
3. Flaring – Matt T
4. Refining Efficiency – Ron C and Andrew B
5. Fuels – Patrick K
6. LNG Exports – Dustin M and Jeff S
7. Nat Gas in Power Generation – Dustin M and Jeff S

Outline

Topic: e.g., Methane

Brief Description of Topic/Industry Source: 2-3 sentences

AP...",14,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_22,13,CCUS,CCUS,463,"...Chittim ███████████████ Andrew P. Broadbent ███████████████ Dustin Meyer
████████████████ Jeffrey I. Stein ███████████████ Patrick Kelly
CC: Howard Feldman ███████████████ Aaron P. Padilla ███████████████
Subject: RE: API GHG Emission One-Pagers
Attachments: API GHG Emissions - One Pager Outline - CCUS.docx

Frank and Team:

A draft one-pager for CCUS is attached. Feedback and edits welcome.
I have also loaded this paper to the Teams site.

Marcus

From: Matthew Todd ██████████████
Sent: Wednesday, January 27, 2021 3:06 PM
To: Frank Macchiarola ███████████████ Stephen Comstock ███████████████ Ron...",15,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_22,13,CCUS,CCUS,513,"...██████████ Dustin Meyer
████████████████ Jeffrey I. Stein ███████████████ Patrick Kelly
CC: Howard Feldman ███████████████ Aaron P. Padilla ███████████████
Subject: RE: API GHG Emission One-Pagers
Attachments: API GHG Emissions - One Pager Outline - CCUS.docx

Frank and Team:

A draft one-pager for CCUS is attached. Feedback and edits welcome.
I have also loaded this paper to the Teams site.

Marcus

From: Matthew Todd ██████████████
Sent: Wednesday, January 27, 2021 3:06 PM
To: Frank Macchiarola ███████████████ Stephen Comstock ███████████████ Ron Chittim
████████████████ Andrew P. Broadbent ████...",16,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_22,13,CCUS,CCUS,5692,"...===================================================
Issue Paper 

API is conducting an overview of our current policies and industry initiatives on climate change, and the tangible benefits 
these measures will have on reducing greenhouse gas emissions. This review includes the following items: 

• CCUS - API supports policy reforms to infrastructure permitting and development for CCUS as well as research, 
development and deployment funding to support technology breakthrough. API also supports federal tax provisions 
incentivizing CCUS investment and deployment. 

• Methane – API supports cost-ef...",17,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_22,13,CCUS,CCUS,5776,"...an overview of our current policies and industry initiatives on climate change, and the tangible benefits 
these measures will have on reducing greenhouse gas emissions. This review includes the following items: 

• CCUS - API supports policy reforms to infrastructure permitting and development for CCUS as well as research, 
development and deployment funding to support technology breakthrough. API also supports federal tax provisions 
incentivizing CCUS investment and deployment. 

• Methane – API supports cost-effective policies and direct regulation that achieve methane emission reductions 
fro...",18,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_22,13,CCUS,CCUS,5930,"...gas emissions. This review includes the following items: 

• CCUS - API supports policy reforms to infrastructure permitting and development for CCUS as well as research, 
development and deployment funding to support technology breakthrough. API also supports federal tax provisions 
incentivizing CCUS investment and deployment. 

• Methane – API supports cost-effective policies and direct regulation that achieve methane emission reductions 
from new and existing sources across the supply chain. Additionally, the oil and natural gas industry remains committed 
to the development and deployment of...",19,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_22,13,CCUS,CCUS,7503,"...==================
API GHG Emission One-Pagers 

Task Description: Develop a one-pager that qualifies and, if possible, quantifies past industry efforts that achieved 
greenhouse gas emission reductions and projects future emission reductions for key industry operations/sources. 

Topics - Lead 
1. CCUS – Marcus K 
2. Methane – Matt T
 3. Flaring – Matt T
4. Refining Efficiency – Ron C and Andrew B
5. Fuels – Patrick K
6. LNG Exports – Dustin M and Jeff S
7. Nat Gas in Power Generation – Dustin M and Jeff S

Outline

Topic: e.g., Methane

Brief Description of Topic/Industry Source: 2-3 sentences...",20,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_22,13,CCUS,Carbon Capture,8122,"...available):

Trends Summary: Provide a description of the current source trends to date; emission reductions accomplished to
through 2020; other industry achievements/efforts to reduce emissions.

Note: Include any available charts that “tell the story” of past trends and future projections. Topic: Carbon Capture, Use, and Storage (CCUS)

Brief Description of Topic/Industry Source:
CCUS is a carbon dioxide (CO₂) removal technology typically associated with electric power generation
and other industrial processes, such as ethanol production, natural gas processing and hydrogen
production. Carbon dioxide emis...",21,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_22,13,CCUS,CCUS,8156,"...de a description of the current source trends to date; emission reductions accomplished to
through 2020; other industry achievements/efforts to reduce emissions.

Note: Include any available charts that “tell the story” of past trends and future projections. Topic: Carbon Capture, Use, and Storage (CCUS)

Brief Description of Topic/Industry Source:
CCUS is a carbon dioxide (CO₂) removal technology typically associated with electric power generation
and other industrial processes, such as ethanol production, natural gas processing and hydrogen
production. Carbon dioxide emissions are captured from...",22,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_22,13,CCUS,CCUS,8207,"...te; emission reductions accomplished to
through 2020; other industry achievements/efforts to reduce emissions.

Note: Include any available charts that “tell the story” of past trends and future projections. Topic: Carbon Capture, Use, and Storage (CCUS)

Brief Description of Topic/Industry Source:
CCUS is a carbon dioxide (CO₂) removal technology typically associated with electric power generation
and other industrial processes, such as ethanol production, natural gas processing and hydrogen
production. Carbon dioxide emissions are captured from the emissions stream and either converted to a
seco...",23,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_22,13,CCUS,CCUS,8613,"...other industrial processes, such as ethanol production, natural gas processing and hydrogen
production. Carbon dioxide emissions are captured from the emissions stream and either converted to a
secondary product for use or stored underground in a dedicated storage well or via enhanced oil
recovery. CCUS is not an oil-and-gas specific technology but enables the use of petroleum and natural
gas by providing an opportunity to capture and/or offset emissions, while also offering the opportunity
to lower the carbon profile of oil and natural gas production through CO₂-EOR. The IPCC has concluded
that t...",24,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_22,13,CCUS,CCUS,9044,"...ure and/or offset emissions, while also offering the opportunity
to lower the carbon profile of oil and natural gas production through CO₂-EOR. The IPCC has concluded
that the costs for achieving atmospheric CO₂ levels consistent with the Paris Agreement will be more
than twice as expensive without CCUS.¹ Similarly, in the IEA Sustainable Development Scenario of the
World Energy Outlook 2020, CCUS accounts for nearly 15% of the cumulative reduction in emissions
compared with the Stated Policies Scenario.²

API Policy:
API supports the advancement of the RD&D to lower the costs associated with and...",25,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_22,13,CCUS,CCUS,9140,"...oil and natural gas production through CO₂-EOR. The IPCC has concluded
that the costs for achieving atmospheric CO₂ levels consistent with the Paris Agreement will be more
than twice as expensive without CCUS.¹ Similarly, in the IEA Sustainable Development Scenario of the
World Energy Outlook 2020, CCUS accounts for nearly 15% of the cumulative reduction in emissions
compared with the Stated Policies Scenario.²

API Policy:
API supports the advancement of the RD&D to lower the costs associated with and enable the further
deployment of CCUS technologies, as well as policy reforms to infrastructure...",26,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_22,13,CCUS,CCUS,9381,"...ble Development Scenario of the
World Energy Outlook 2020, CCUS accounts for nearly 15% of the cumulative reduction in emissions
compared with the Stated Policies Scenario.²

API Policy:
API supports the advancement of the RD&D to lower the costs associated with and enable the further
deployment of CCUS technologies, as well as policy reforms to infrastructure permitting and
development for carbon dioxide transportation. Additionally, API supports the findings of the National
Petroleum Council’s 2019 report “Meeting the Dual Challenge: A Roadmap to At-Scale Deployment of
Carbon Capture, Use, and S...",27,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_22,13,CCUS,Carbon Capture,9659,"...further
deployment of CCUS technologies, as well as policy reforms to infrastructure permitting and
development for carbon dioxide transportation. Additionally, API supports the findings of the National
Petroleum Council’s 2019 report “Meeting the Dual Challenge: A Roadmap to At-Scale Deployment of
Carbon Capture, Use, and Storage”.

Trends Summary:
The United States is the world leader in the deployment of CCUS technology. The U.S. has 13
commercial-scale carbon capture facilities in operation, with the capacity to capture on the order of 25
million metric tons (MMT) of CO2 annually. Four of the commercial...",28,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_22,13,CCUS,CCUS,9770,"...for carbon dioxide transportation. Additionally, API supports the findings of the National
Petroleum Council’s 2019 report “Meeting the Dual Challenge: A Roadmap to At-Scale Deployment of
Carbon Capture, Use, and Storage”.

Trends Summary:
The United States is the world leader in the deployment of CCUS technology. The U.S. has 13
commercial-scale carbon capture facilities in operation, with the capacity to capture on the order of 25
million metric tons (MMT) of CO2 annually. Four of the commercially operating facilities are associated
with natural gas processing, with an additional facility assoc...",29,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_22,13,CCUS,carbon capture,9820,"...API supports the findings of the National
Petroleum Council’s 2019 report “Meeting the Dual Challenge: A Roadmap to At-Scale Deployment of
Carbon Capture, Use, and Storage”.

Trends Summary:
The United States is the world leader in the deployment of CCUS technology. The U.S. has 13
commercial-scale carbon capture facilities in operation, with the capacity to capture on the order of 25
million metric tons (MMT) of CO2 annually. Four of the commercially operating facilities are associated
with natural gas processing, with an additional facility associated with hydrogen production through
steam-methane reforma...",30,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_22,13,CCUS,direct air capture,10720,"...s are in various development stages in the U.S. including those already under
construction. Many of the in-development facilities are associated with natural gas power generation,
though oil and natural gas firms are also partnering with other industrial firms to expand usage in heavy
industry. One direct air capture (DAC) project is under development with industry involvement. Other
members are involved in research and development to find ways to lower the cost of the technology,
such as alternative separation capture methods.

CCUS has been supported in recent years by the 45Q tax credit, providing support fo...",31,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_22,13,CCUS,DAC,10740,"...elopment stages in the U.S. including those already under
construction. Many of the in-development facilities are associated with natural gas power generation,
though oil and natural gas firms are also partnering with other industrial firms to expand usage in heavy
industry. One direct air capture (DAC) project is under development with industry involvement. Other
members are involved in research and development to find ways to lower the cost of the technology,
such as alternative separation capture methods.

CCUS has been supported in recent years by the 45Q tax credit, providing support for dep...",32,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_22,13,CCUS,CCUS,10955,"...th other industrial firms to expand usage in heavy
industry. One direct air capture (DAC) project is under development with industry involvement. Other
members are involved in research and development to find ways to lower the cost of the technology,
such as alternative separation capture methods.

CCUS has been supported in recent years by the 45Q tax credit, providing support for deployment, and
by increased federal research and development funding and focus in the 2020 Omnibus bill. CCUS
appears to have broad-based bipartisan support as a viable approach for reducing greenhouse gas
emissions fr...",33,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_22,13,CCUS,CCUS,11146,"...velopment to find ways to lower the cost of the technology,
such as alternative separation capture methods.

CCUS has been supported in recent years by the 45Q tax credit, providing support for deployment, and
by increased federal research and development funding and focus in the 2020 Omnibus bill. CCUS
appears to have broad-based bipartisan support as a viable approach for reducing greenhouse gas
emissions from energy-intensive industries and industries with significant process emissions.

________________________________
¹ IPCC, 2014: Climate Change 2014: Synthesis Report. Contribution of Workin...",34,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_22,13,Hydrogen,hydrogen,8396,"...uture projections. Topic: Carbon Capture, Use, and Storage (CCUS)

Brief Description of Topic/Industry Source:
CCUS is a carbon dioxide (CO₂) removal technology typically associated with electric power generation
and other industrial processes, such as ethanol production, natural gas processing and hydrogen
production. Carbon dioxide emissions are captured from the emissions stream and either converted to a
secondary product for use or stored underground in a dedicated storage well or via enhanced oil
recovery. CCUS is not an oil-and-gas specific technology but enables the use of petroleum and natural...",35,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_22,13,Hydrogen,hydrogen,10085,".... The U.S. has 13
commercial-scale carbon capture facilities in operation, with the capacity to capture on the order of 25
million metric tons (MMT) of CO2 annually. Four of the commercially operating facilities are associated
with natural gas processing, with an additional facility associated with hydrogen production through
steam-methane reformation (blue hydrogen). In 2018, operators reported capturing more than 13 MMT
CO2 for use with EOR, another 46 MMT CO2 was extracted from natural CO2 bearing formations and
could be substituted in the future with CO2 captured from waste streams. An additional...",36,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_22,13,Hydrogen,hydrogen,10145,"...in operation, with the capacity to capture on the order of 25
million metric tons (MMT) of CO2 annually. Four of the commercially operating facilities are associated
with natural gas processing, with an additional facility associated with hydrogen production through
steam-methane reformation (blue hydrogen). In 2018, operators reported capturing more than 13 MMT
CO2 for use with EOR, another 46 MMT CO2 was extracted from natural CO2 bearing formations and
could be substituted in the future with CO2 captured from waste streams. An additional 22 carbon
capture facilities are in various development stag...",37,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_23,14,CCUS,CCUS,5047,"...onday if necessary) to discuss further.

Thanks,

Matt Issue Paper

API is conducting an overview of our current policies and industry initiatives on climate change, and the tangible benefits
these measures will have on reducing greenhouse gas emissions. This review includes the following items:

•	CCUS - API supports policy reforms to infrastructure permitting and development for CCUS as well as research,
development and deployment funding to support technology breakthrough. API also supports federal tax provisions
incentivizing CCUS investment and deployment.
•	Methane – API supports cost-effect...",38,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_23,14,CCUS,CCUS,5131,"...g an overview of our current policies and industry initiatives on climate change, and the tangible benefits
these measures will have on reducing greenhouse gas emissions. This review includes the following items:

•	CCUS - API supports policy reforms to infrastructure permitting and development for CCUS as well as research,
development and deployment funding to support technology breakthrough. API also supports federal tax provisions
incentivizing CCUS investment and deployment.
•	Methane – API supports cost-effective policies and direct regulation that achieve methane emission reductions
from new...",39,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_23,14,CCUS,CCUS,5283,"...use gas emissions. This review includes the following items:

•	CCUS - API supports policy reforms to infrastructure permitting and development for CCUS as well as research,
development and deployment funding to support technology breakthrough. API also supports federal tax provisions
incentivizing CCUS investment and deployment.
•	Methane – API supports cost-effective policies and direct regulation that achieve methane emission reductions
from new and existing sources across the supply chain. Additionally, the oil and natural gas industry remains committed
to the development and deployment of new...",40,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_23,14,CCUS,CCUS,6829,"...=====================

API GHG Emission One-Pagers

Task Description: Develop a one-pager that qualifies and, if possible, quantifies past industry efforts that achieved
greenhouse gas emission reductions and projects future emission reductions for key industry operations/sources.

Topics - Lead
1.	CCUS – Marcus K
2.	Methane – Matt T
3.	Flaring – Matt T
4.	Refining Efficiency – Ron C and Andrew B
5.	Fuels – Patrick K
6.	LNG Exports – Dustin M and Jeff S
7.	Nat Gas in Power Generation – Dustin M and Jeff S

Outline

Topic: e.g., Methane

Brief Description of Topic/Industry Source: 2-3 sentences

AP...",41,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_26,17,CCUS,CCUS,192,"Message

From: Marcus Koblitz
Sent: 1/25/2021 1:58:56 PM
To: Stephen Comstock ██████████
CC: Aaron P. Padilla ██████
Subject: RE: API GHG Emission One-Pagers
Attachments: ExComm Issue Paper - CCUS draft 20210125.docx

Stephen,
Per our discussion on Friday, here’s a draft (or at least a start) for the 1-pager/issue paper on CCUS for the ExCom
application. I think I might need to take out the references to specific members. I can build out a little more on API’s
support for the Omnibus changes...",42,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_26,17,CCUS,CCUS,325,"...litz
Sent: 1/25/2021 1:58:56 PM
To: Stephen Comstock ██████████
CC: Aaron P. Padilla ██████
Subject: RE: API GHG Emission One-Pagers
Attachments: ExComm Issue Paper - CCUS draft 20210125.docx

Stephen,
Per our discussion on Friday, here’s a draft (or at least a start) for the 1-pager/issue paper on CCUS for the ExCom
application. I think I might need to take out the references to specific members. I can build out a little more on API’s
support for the Omnibus changes and 45Q changes, if we want to take a little bit of credit.

Marcus

From: Matthew Todd
Sent: Thursday, January 21, 2021 4:20 PM
To:...",43,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_26,17,CCUS,CCUS,2099,"...======================================================
Issue Paper API is conducting an overview of our current policies and industry initiatives on climate change, and the tangible benefits 
these measures will have on reducing greenhouse gas emissions. This review includes the following items:

• CCUS - API supports policy reforms to infrastructure permitting and development for CCUS as well as research, 
development and deployment funding to support technology breakthrough. API also supports federal tax provisions 
incentivizing CCUS investment and deployment.  
• Methane – API supports cost-ef...",44,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
